hour_ts,avg_tps
2025-03-17 00:00:00+00:00,7.14559599888858
2025-03-17 01:00:00+00:00,7.785654712260218
2025-03-17 02:00:00+00:00,7.613781606001667
2025-03-17 03:00:00+00:00,8.055045871559633
2025-03-17 04:00:00+00:00,9.960811561978877
2025-03-17 05:00:00+00:00,9.972214504028896
2025-03-17 06:00:00+00:00,10.424520433694743
2025-03-17 07:00:00+00:00,9.984717977215892
2025-03-17 08:00:00+00:00,8.806281267370762
2025-03-17 09:00:00+00:00,8.778271742150597
2025-03-17 10:00:00+00:00,8.754585881045028
2025-03-17 11:00:00+00:00,9.216231239577542
2025-03-17 12:00:00+00:00,10.313702516318012
2025-03-17 13:00:00+00:00,12.808504724847138
2025-03-17 14:00:00+00:00,16.002501389660925
2025-03-17 15:00:00+00:00,15.976660183384274
2025-03-17 16:00:00+00:00,15.95219566425792
2025-03-17 17:00:00+00:00,13.2615341856587
2025-03-17 18:00:00+00:00,14.117810502917475
2025-03-17 19:00:00+00:00,12.904947192884936
2025-03-17 20:00:00+00:00,15.520566981656476
2025-03-17 21:00:00+00:00,13.631564323423174
2025-03-17 22:00:00+00:00,12.82573652028905
2025-03-17 23:00:00+00:00,11.79460811561979
2025-03-18 00:00:00+00:00,13.904947192884936
2025-03-18 01:00:00+00:00,14.57874700662065
2025-03-18 02:00:00+00:00,15.663702056698163
2025-03-18 03:00:00+00:00,12.73575993331481
2025-03-18 04:00:00+00:00,10.890803000833564
2025-03-18 05:00:00+00:00,14.36899138649625
2025-03-18 06:00:00+00:00,15.561700944969427
2025-03-18 07:00:00+00:00,14.379549874965267
2025-03-18 08:00:00+00:00,16.4952751528627
2025-03-18 09:00:00+00:00,16.01278488048916
2025-03-18 10:00:00+00:00,12.64434565156988
2025-03-18 11:00:00+00:00,10.562812673707615
2025-03-18 12:00:00+00:00,10.679266259032795
2025-03-18 13:00:00+00:00,11.852736871353152
2025-03-18 14:00:00+00:00,12.430239021678712
2025-03-18 15:00:00+00:00,12.572903580196176
2025-03-18 16:00:00+00:00,11.344635908838244
2025-03-18 17:00:00+00:00,11.399277577104751
2025-03-18 18:00:00+00:00,11.11284046692607
2025-03-18 19:00:00+00:00,10.866592551417456
2025-03-18 20:00:00+00:00,10.93803834398444
2025-03-18 21:00:00+00:00,10.267648693718732
2025-03-18 22:00:00+00:00,9.93857698721512
2025-03-18 23:00:00+00:00,9.609891636565711
