epoch_index,tx_hour,hourly_avg_latency_sec
3060.0,1970-01-01 00:00:00.000000000,3.5694841773010375
3060.0,1970-01-01 00:00:00.000000001,3.6527321177877456
3060.0,1970-01-01 00:00:00.000000002,3.742137446178025
3060.0,1970-01-01 00:00:00.000000003,3.7298710193744737
3060.0,1970-01-01 00:00:00.000000004,2.991225583010744
3060.0,1970-01-01 00:00:00.000000005,2.9183128672583316
3060.0,1970-01-01 00:00:00.000000006,3.057758866192836
3060.0,1970-01-01 00:00:00.000000007,3.033745784411036
3060.0,1970-01-01 00:00:00.000000008,3.057134737367424
3060.0,1970-01-01 00:00:00.000000009,3.0515336712620256
3060.0,1970-01-01 00:00:00.000000010,3.073143815204106
3060.0,1970-01-01 00:00:00.000000011,3.1194131400855762
3060.0,1970-01-01 00:00:00.000000012,3.5285250297793342
3061.0,1970-01-01 00:00:00.000000000,3.3342455861457965
3061.0,1970-01-01 00:00:00.000000001,3.250117689737673
3061.0,1970-01-01 00:00:00.000000012,3.358970447345522
3061.0,1970-01-01 00:00:00.000000013,3.40803811398472
3061.0,1970-01-01 00:00:00.000000014,3.668923172019631
3061.0,1970-01-01 00:00:00.000000015,3.517475601294542
3061.0,1970-01-01 00:00:00.000000016,3.3288887734835817
3061.0,1970-01-01 00:00:00.000000017,3.1449385251922366
3061.0,1970-01-01 00:00:00.000000018,3.3906818592263854
3061.0,1970-01-01 00:00:00.000000019,2.941358326653746
3061.0,1970-01-01 00:00:00.000000020,3.327954795308996
3061.0,1970-01-01 00:00:00.000000021,3.3389627835226583
3061.0,1970-01-01 00:00:00.000000022,2.873085998703984
3061.0,1970-01-01 00:00:00.000000023,3.157911421751341
3062.0,1970-01-01 00:00:00.000000001,3.2433635587644174
3062.0,1970-01-01 00:00:00.000000002,3.33881180308098
3062.0,1970-01-01 00:00:00.000000003,3.3384963502487017
3062.0,1970-01-01 00:00:00.000000004,2.797308884239064
3062.0,1970-01-01 00:00:00.000000005,3.1845317388399437
3062.0,1970-01-01 00:00:00.000000006,3.289415685275858
3062.0,1970-01-01 00:00:00.000000007,3.450060061228257
3062.0,1970-01-01 00:00:00.000000008,3.350575975143967
3062.0,1970-01-01 00:00:00.000000009,3.378288297346504
3062.0,1970-01-01 00:00:00.000000010,2.781037758115077
3062.0,1970-01-01 00:00:00.000000011,2.6082792454544435
3062.0,1970-01-01 00:00:00.000000012,2.87231072054498
3062.0,1970-01-01 00:00:00.000000013,2.984449321829605
3062.0,1970-01-01 00:00:00.000000014,3.01223523777304
3062.0,1970-01-01 00:00:00.000000015,3.0253841458076853
3063.0,1970-01-01 00:00:00.000000015,3.075680985663207
3063.0,1970-01-01 00:00:00.000000016,3.1681430531840142
3063.0,1970-01-01 00:00:00.000000017,2.9936860460669483
3063.0,1970-01-01 00:00:00.000000018,3.0250784638809836
3063.0,1970-01-01 00:00:00.000000019,3.001616275510685
3063.0,1970-01-01 00:00:00.000000020,3.015358776135477
3063.0,1970-01-01 00:00:00.000000021,3.028875286469655
3063.0,1970-01-01 00:00:00.000000022,3.0411258222459807
3063.0,1970-01-01 00:00:00.000000023,3.0163417350977766
