epoch_index,avg_latency_sec
3060.0,3.6795091324200921
3060.0,3.921432502222411
3060.0,3.8604825291181379
3060.0,3.8984300170740855
3060.0,3.2482979413195019
3060.0,3.1859931113662454
3060.0,3.4181407053503041
3060.0,3.4397698369678524
3060.0,3.442834336239716
3060.0,3.459342491860558
3060.0,3.3835171445758978
3060.0,3.5348374760994257
3060.0,3.7496671105193085
3061.0,3.4140545808966865
3061.0,3.4237208364149803
3061.0,3.581839858472426
3061.0,3.7140644717219224
3061.0,3.9441349673722743
3061.0,3.6325429301502772
3061.0,3.4972683083597791
3061.0,3.359749904069699
3061.0,3.3555871711104079
3061.0,3.2735526651364451
3061.0,3.462372696882531
3061.0,3.3706643556360922
3061.0,3.2009248045799845
3061.0,3.4368486869528976
3062.0,3.4478970495919645
3062.0,3.4703845321405384
3062.0,3.6168710049250752
3062.0,3.3624266029329313
3062.0,3.4756501894591807
3062.0,3.4355303074217916
3062.0,3.47214880271411
3062.0,3.4376845100480171
3062.0,3.6058560612970902
3062.0,3.1603858009346721
3062.0,3.0681559081805569
3062.0,3.5548600448801224
3062.0,3.2051680431760561
3062.0,3.2140789400434224
3062.0,3.1569201799351396
3063.0,3.2689694224235573
3063.0,3.2452718501198685
3063.0,3.1793987905699508
3063.0,3.1973633306550013
3063.0,3.1598933649289092
3063.0,3.2131698572251741
3063.0,3.199563454942314
3063.0,3.1751573088092919
3063.0,3.1510758255666778
