epoch_index,hour_ts,tx_shard,avg_tps
3060.0,2025-03-17 00:00:00.000000 UTC,0,14.341761600444569
3060.0,2025-03-17 00:00:00.000000 UTC,1,0.2595165323701028
3060.0,2025-03-17 00:00:00.000000 UTC,2,6.4648513475965546
3060.0,2025-03-17 00:00:00.000000 UTC,4,7.14559599888858
3060.0,2025-03-17 00:00:00.000000 UTC,5,5.8416226729647125
3060.0,2025-03-17 00:00:00.000000 UTC,6,7.9044178938594056
3060.0,2025-03-17 00:00:00.000000 UTC,7,9.8177271464295632
3060.0,2025-03-17 01:00:00.000000 UTC,0,16.273839310536559
3060.0,2025-03-17 01:00:00.000000 UTC,1,0.23630803447317208
3060.0,2025-03-17 01:00:00.000000 UTC,2,5.398109535724215
3060.0,2025-03-17 01:00:00.000000 UTC,4,7.7856547122602171
3060.0,2025-03-17 01:00:00.000000 UTC,5,6.5674172921879341
3060.0,2025-03-17 01:00:00.000000 UTC,6,7.5902140672782874
3060.0,2025-03-17 01:00:00.000000 UTC,7,12.462051709758132
3060.0,2025-03-17 02:00:00.000000 UTC,0,16.456237843845514
3060.0,2025-03-17 02:00:00.000000 UTC,1,0.24284523478744097
3060.0,2025-03-17 02:00:00.000000 UTC,2,6.1405946096137818
3060.0,2025-03-17 02:00:00.000000 UTC,4,7.613781606001667
3060.0,2025-03-17 02:00:00.000000 UTC,5,6.679633231453181
3060.0,2025-03-17 02:00:00.000000 UTC,6,7.50958599611003
3060.0,2025-03-17 02:00:00.000000 UTC,7,8.0925257015837726
3060.0,2025-03-17 03:00:00.000000 UTC,0,14.847372810675562
3060.0,2025-03-17 03:00:00.000000 UTC,1,0.221573533500139
3060.0,2025-03-17 03:00:00.000000 UTC,2,6.2349179872115652
3060.0,2025-03-17 03:00:00.000000 UTC,4,8.0550458715596331
3060.0,2025-03-17 03:00:00.000000 UTC,5,6.6758409785932722
3060.0,2025-03-17 03:00:00.000000 UTC,6,9.7901028634973581
3060.0,2025-03-17 03:00:00.000000 UTC,7,9.5863219349457882
3060.0,2025-03-17 04:00:00.000000 UTC,0,14.009449694274597
3060.0,2025-03-17 04:00:00.000000 UTC,1,0.2857142857142857
3060.0,2025-03-17 04:00:00.000000 UTC,2,7.2865480822679265
3060.0,2025-03-17 04:00:00.000000 UTC,4,9.9608115619788773
3060.0,2025-03-17 04:00:00.000000 UTC,5,6.8582545858810446
3060.0,2025-03-17 04:00:00.000000 UTC,6,12.025013896609227
3060.0,2025-03-17 04:00:00.000000 UTC,7,8.8362979433018349
3060.0,2025-03-17 05:00:00.000000 UTC,0,14.121422617393721
3060.0,2025-03-17 05:00:00.000000 UTC,1,0.27507641011392053
3060.0,2025-03-17 05:00:00.000000 UTC,2,7.6479577660461242
3060.0,2025-03-17 05:00:00.000000 UTC,4,9.9722145040288961
3060.0,2025-03-17 05:00:00.000000 UTC,5,6.77632675743262
3060.0,2025-03-17 05:00:00.000000 UTC,6,12.453181439288691
3060.0,2025-03-17 05:00:00.000000 UTC,7,10.458738538482912
3060.0,2025-03-17 06:00:00.000000 UTC,0,14.932721712538227
3060.0,2025-03-17 06:00:00.000000 UTC,1,0.294968028912983
