epoch_index,avg_tps
3063,8.565940402
3064,10.27986431
3065,16.31559932
3066,21.23263938
3067,14.88904431
3068,13.25160696
3069,13.37422111
3070,13.73857483
3071,15.24088298
3072,14.32696947
3073,13.77557315
3074,14.38952027
3075,13.29933368
3076,12.80739867
3077,14.23396031
3078,13.10770287
3079,12.38949066
3080,13.02975646
3081,12.70396149
3082,14.13484009
3083,12.45414244
3084,12.5912304
3085,12.76691038
3086,13.07713194
3087,11.53678159
3088,12.78347745
3089,11.84642399
3090,13.43199985
3091,14.54549642
3092,14.80236139
3093,13.30921282
3094,16.06017549
3095,18.6908867
3096,13.62607351
3097,12.01074265
3098,13.08885153
3099,8.201641685
3100,16.30976187
3101,13.08698718
3102,11.14954279
3103,14.47919438
3104,11.33901803
3105,13.58096459
3106,11.41134174
3107,11.42696231
3108,11.08437761
3109,10.24198421
3110,12.48976236
3111,9.682765705
3112,14.29713646
3113,10.7481505
3114,15.56703154
3115,15.51336071
3116,9.263758749
3117,14.02070142
3118,9.769013081
3119,13.34438352
3120,9.753269817
3121,12.70967138
3122,7.489700706
3123,13.27664643
3124,10.92714748
3125,9.907229472
3126,13.2754029
3127,8.716000746
3128,13.95220414
3129,5.573371376
3130,14.19491125
3131,13.22507357
3132,8.92767648
3133,12.2845483
3134,7.523327807
3135,14.40560272
3136,6.549353358
3137,12.0694351
3138,12.58586683
3139,13.56528277
3140,10.18366786
3141,9.326751831
3142,13.31981674
3143,6.892871586
3144,14.51428512
3145,9.667224754
3146,11.9947129
3147,4.397775514
3148,15.66066241
3149,10.74299219
3150,9.824940048
3151,13.35309928
3152,10.82433087
3153,10.96669611
3154,10.93684644
3155,10.78128177
3156,10.32942922
3157,10.51715477
3158,9.582088755
3159,11.44836022
3160,10.12292677
3161,10.33339721
3162,10.64777567
3163,9.515055637
3164,10.8243522
3165,10.26367261
3166,9.967365368
3167,9.629492129
3168,10.23858843
3169,9.50783222
3170,7.555254665
3171,10.87922025
3172,9.548271928
3173,8.050070996
3174,12.12871215
3175,10.16589621
3176,8.072051574
3177,12.07585071
3178,10.62251341
3179,9.608319807
3180,10.70723137
3181,10.55605551
3182,10.24380916
3183,7.052233729
3184,14.51650302
3185,11.106207
3186,8.849958406
3187,12.84292303
3188,10.68951524
3189,8.084918033
3190,13.28039008
3191,10.56011622
3192,9.473106681
3193,11.40526375
3194,10.4863355
3195,10.38702627
3196,9.894416701
3197,11.41404268
3198,10.54697822
3199,9.632518403
3200,11.11863761
3201,9.596786418
3202,7.883082678
3203,11.15691257
3204,9.648721451
3205,8.846793893
3206,9.950243828
3207,9.892195417
3208,10.31710842
3209,9.423346274
3210,10.11086759
3211,9.528060848
3212,8.281613742
3213,10.94428252
3214,9.942632598
3215,8.265931978
3216,10.42264789
3217,8.970786686
3218,8.725691279
3219,10.87367505
3220,11.16640998
3221,11.03812372
3222,9.406412643
3223,10.31572597
3224,9.898879806
3225,7.067159932
3226,10.80245747
3227,8.770762488
3228,7.613549147
3229,9.965710181
3230,9.077374901
3231,8.794150943
3232,8.658652943
3233,9.195469111
3234,9.622185217
3235,8.571563873
3236,10.59645669
3237,9.538963964
3238,7.329957902
3239,11.24302172
3240,9.460622952
3241,8.262776735
3242,10.11894761
3243,9.272866824
3244,9.132464019
3245,9.188879991
3246,9.856382979
3247,9.397969273
3248,8.053647167
3249,10.32915799
3250,9.680989485
3251,7.363757724
3252,12.64200629
3253,10.52769173
3254,9.658534749
3255,10.86571999
3256,10.78988781
3257,10.60879463
3258,8.812668412
3259,11.18196256
3260,10.02329729
3261,8.383092155
3262,11.12073291
3263,10.32771158
3264,8.123541549
3265,11.16786983
3266,9.841436192
3267,9.337091875
3268,9.665447062
3269,9.722914379
3270,9.666189543
3271,9.976904084
3272,11.84664659
3273,11.21162676
3274,9.004366149
3275,13.71013783
3276,11.08344903
3277,9.385575167
3278,12.72714166
3279,11.34554696
3280,11.19416258
3281,9.20972275
3282,10.6336712
3283,10.10444537
3284,8.215223196
3285,11.4156797
3286,9.879229042
3287,6.902915574
3288,12.65889334
3289,9.903232712
3290,9.163018894
3291,12.21741227
3292,11.02245614
3293,9.699126831
3294,10.33055134
3295,10.75187065
3296,10.22804148
3297,9.13766838
3298,11.5361074
3299,10.61875766
3300,8.32612789
3301,13.0014237
3302,10.70094132
3303,8.339193684
3304,12.52386763
3305,10.89029993
3306,8.040500543
3307,12.88826713
3308,11.49142563
3309,10.0759168
3310,11.40568245
3311,10.74150887
3312,10.81467428
3313,10.24599704
3314,10.21923235
3315,10.25375947
3316,9.393838913
3317,10.80770211
3318,9.769066941
3319,6.898584996
3320,13.22648745
3321,9.85943074
3322,7.368072603
3323,12.62354629
3324,9.730235757
3325,9.260193359
3326,10.65016342
3327,9.692224104
3328,8.674998375
3329,11.2356704
3330,9.872876651
3331,7.771324116
3332,11.87968904
3333,10.23114483
3334,7.379786304
3335,11.76789856
3336,9.549628071
3337,8.411911988
3338,10.6624123
3339,9.603314797
3340,9.120008981
3341,9.289298418
3342,9.469185113
3343,9.366070766
3344,8.2799822
3345,10.38299571
3346,9.467685788
3347,8.079678471
3348,11.10782615
3349,9.523900645
3350,7.526942237
3351,11.13336354
3352,9.41810116
3353,9.646321547
3354,9.949616815
3355,9.789979588
3356,9.776257078
3357,9.27031008
3358,9.805254441
3359,6.844660927
3360,1.920896657
3361,2.104031555
3362,2.20994976
3363,1.981697552
3364,2.130878489
3365,7.850716832
3366,9.406817579
3367,9.820777643
3368,10.30364477
3369,9.789021714
3370,7.780933601
3371,11.28746223
3372,9.760309763
3373,6.771598581
3374,12.46108378
3375,9.861787688
3376,8.663320173
3377,10.22717379
3378,10.32267971
3379,9.803087492
3380,8.790850918
3381,10.47272311
3382,9.484055446
3383,7.70494175
3384,11.52883156
3385,9.872857469
3386,7.66298927
3387,11.35940182
3388,10.09916228
3389,9.795365473
3390,9.833257247
3391,10.29346673
3392,9.740349282
3393,7.350930729
3394,12.38970476
3395,10.63602663
3396,7.490699701
3397,12.69926743
3398,10.99136691
3399,8.642802742
3400,5.60510397
3401,14.85953202
3402,10.81046773
3403,8.067160758
3404,11.04530929
3405,9.710049361
3406,7.110619131
3407,12.06017497
3408,9.682835963
3409,7.801014183
3410,16.90149379
3411,15.1337652
3412,13.62821821
