epoch_index,tx_shard,avg_tps
3063,0,17.4379438
3063,1,0.22631547
3063,4,9.739697761
3063,5,8.565940402
3063,6,8.963039388
3063,7,11.03592887
3063,8,5.178916065
3063,9,1.996844086
3064,0,18.91460706
3064,1,0.439039658
3064,4,11.82222761
3064,5,10.27986431
3064,6,9.937020435
3064,7,11.55577094
3064,8,5.804317099
3064,9,2.616367822
3065,0,25.88533796
3065,1,0.286944135
3065,4,18.01011602
3065,5,16.31559932
3065,6,9.226805401
3065,7,17.86578719
3065,8,11.65378422
3065,9,9.758949585
3066,0,33.02705393
3066,1,0.314329237
3066,4,24.94873566
3066,5,21.23263938
3066,6,9.298304052
3066,7,22.36272977
3066,8,21.0957449
3066,9,20.20347314
3067,0,22.43501872
3067,1,0.263072366
3067,4,15.42004361
3067,5,14.88904431
3067,6,9.658925412
3067,7,13.68702431
3067,8,7.135290246
3067,9,3.163430288
3068,0,21.54653019
3068,1,0.275005118
3068,4,13.86962129
3068,5,13.25160696
3068,6,8.846345957
3068,7,13.04253838
3068,8,6.647021494
3068,9,3.084053224
3069,0,20.42534125
3069,1,0.242388246
3069,4,13.53941857
3069,5,13.37422111
3069,6,9.385453788
3069,7,12.73764718
3069,8,6.490674169
3069,9,2.992268417
3070,0,20.65092714
3070,1,0.264337873
3070,4,13.44039219
3070,5,13.73857483
3070,6,8.477723991
3070,7,12.78729078
3070,8,6.329360847
3070,9,2.86722596
3071,0,22.05430904
3071,1,0.269952626
3071,4,15.24304002
3071,5,15.24088298
3071,6,9.827053724
3071,7,12.68293519
3071,8,6.847696805
3071,9,3.343191211
3072,0,17.11366307
3072,1,0.269900831
3072,4,13.69354473
3072,5,14.32696947
3072,6,9.066119621
3072,7,8.482341298
3072,8,6.425313898
3072,9,2.914933097
3073,0,17.58120695
3073,1,0.293492341
3073,4,13.23082142
3073,5,13.77557315
3073,6,9.186429526
3073,7,8.327295158
3073,8,6.232178472
3073,9,2.89053151
3074,0,18.09083543
3074,1,0.461116536
3074,4,13.4689701
3074,5,14.38952027
3074,6,8.990110324
3074,7,8.115580395
3074,8,6.310714508
3074,9,2.822546799
3075,0,22.27674013
3075,1,0.217160431
3075,4,13.39956945
3075,5,13.29933368
3075,6,9.128139416
3075,7,13.73636084
3075,8,6.338165044
3075,9,2.843341876
3076,0,22.11106283
3076,1,0.196780667
3076,4,13.39498893
3076,5,12.80739867
3076,6,9.270746695
3076,7,13.94535824
3076,8,6.371774978
3076,9,2.816171146
3077,0,19.09456387
3077,1,0.188983051
3077,4,14.38538652
3077,5,14.23396031
3077,6,8.673914841
3077,7,8.557213725
3077,8,6.963517983
3077,9,2.991856139
3078,0,22.26336148
3078,1,0.196793245
