epoch_index,total_avg_latency_sec
3063.0,3.168456152422497
3064.0,3.1491131848747815
3065.0,2.27602100839849
3066.0,1.7960678569190893
3067.0,3.359546997973227
3068.0,3.179147788839163
3069.0,3.160913898501456
3070.0,3.2126116013574895
3071.0,3.394616791288291
3072.0,3.3712757780768197
3073.0,3.2797897344424856
3074.0,3.423858608203532
3075.0,3.2415403143001646
3076.0,3.188410881520318
3077.0,3.3216058249845055
3078.0,3.2094106915456586
3079.0,3.254172560691337
3080.0,3.1953098175732353
3081.0,3.169952406930965
3082.0,3.330519487973705
3083.0,3.275788296842283
3084.0,3.201479283535252
3085.0,3.2554419946332005
3086.0,3.614142064233794
3087.0,3.4011910066546838
3088.0,3.4223631952324505
3089.0,3.4507074408784195
3090.0,3.645487708920667
3091.0,3.5724166663866894
3092.0,3.45429790411711
3093.0,3.3530060955086145
3094.0,3.507705174386058
3095.0,3.678400059648709
3096.0,3.428031191568594
3097.0,3.3614969606768277
3098.0,3.4610432643423645
3099.0,3.3582943289099196
3100.0,3.430623578909997
3101.0,3.310210180149582
3102.0,3.3343395283255752
3103.0,3.4404845080035416
3104.0,3.349031654483435
3105.0,3.405633126200408
3106.0,3.3727356323315023
3107.0,3.385545479483972
3108.0,3.3542631416134503
3109.0,3.360301843614579
3110.0,3.431787736418068
3111.0,3.3641610000021807
3112.0,4.065046773158178
3113.0,3.9315150318164256
3114.0,3.424597798352971
3115.0,3.5708346546797585
3116.0,3.8197765437986995
3117.0,3.4666056283437148
3118.0,3.413123228290502
3119.0,3.5305762747699703
3120.0,3.36592794678647
3121.0,3.4704815233308475
3122.0,3.3131761525669416
3123.0,3.545418016015321
3124.0,3.3693373990518047
3125.0,3.4361561189565997
3126.0,3.4785306953149866
3127.0,3.449195037017595
3128.0,3.5329537961996893
3129.0,3.249305500179404
3130.0,3.5756464911457537
3131.0,3.538404745976147
3132.0,3.5559546965825195
3133.0,3.5377578388899606
3134.0,3.405555839627369
3135.0,3.540615940730932
3136.0,3.364187673644536
3137.0,3.646793918700893
3138.0,3.4826855635944547
3139.0,3.5294694841414502
3140.0,3.662144443364591
3141.0,3.7109407258386837
3142.0,3.520329624112102
3143.0,3.3398651179957506
3144.0,3.5280300116858974
3145.0,3.3908123709813154
3146.0,3.4979476965641303
3147.0,3.1723256307776824
3148.0,3.5413837830745987
3149.0,3.4905063125118154
3150.0,3.4561415978631627
3151.0,3.457281685560082
3152.0,3.4602155565745463
3153.0,3.655252072950159
3154.0,3.2982394759899645
3155.0,2.8238590231697556
3156.0,2.5195819382086104
3157.0,2.488883917675758
3158.0,2.532279185881107
3159.0,2.559348572044281
3160.0,2.1820210897593797
3161.0,2.0587502096452575
3162.0,2.039198461839522
3163.0,1.8506948017320237
3164.0,1.7039736379406825
3165.0,1.6854778687708667
3166.0,1.7678606845211469
3167.0,1.7171028143130953
3168.0,1.6552558274638844
3169.0,1.7807814628818655
3170.0,1.78531941948508
3171.0,1.8090614190533645
3172.0,1.854910344638528
3173.0,1.6953246837690719
3174.0,1.7619662126285145
3175.0,1.7171979284979577
3176.0,1.6527452605875763
3177.0,1.7644322835156392
3178.0,1.717511462873469
3179.0,1.6787845581206562
3180.0,1.6778440028813955
3181.0,1.652965713960615
3182.0,1.6856054414378503
3183.0,1.5633712317267077
3184.0,1.6625920190676151
3185.0,1.664193069302598
3186.0,1.5651583015729107
3187.0,1.6399830437218472
3188.0,1.7269187484667534
3189.0,1.740617326119546
3190.0,1.651812155338574
3191.0,1.7230216643643212
3192.0,1.7029278203074638
3193.0,1.6191025988932848
3194.0,1.6428498333114026
3195.0,1.7347933858460793
3196.0,1.6724799656978286
3197.0,1.6321085795676213
3198.0,1.6648961034630778
3199.0,1.6181031610118648
3200.0,1.6108794791390844
3201.0,1.682032902282607
3202.0,1.6775659217741983
3203.0,1.8133164363693
3204.0,1.7062836005633748
3205.0,1.7498428757304332
3206.0,1.7462548998133636
3207.0,1.7259373779255238
3208.0,1.705304152433077
3209.0,1.6764227971634496
3210.0,1.719375261987862
3211.0,1.850918513669853
3212.0,1.7713759181987023
3213.0,1.7224761202479506
3214.0,1.6738899621063137
3215.0,1.6749705671977408
3216.0,1.773431519034948
3217.0,1.708133207769513
3218.0,1.7242795593960039
3219.0,1.6406166479658961
3220.0,1.6543762524764938
3221.0,1.6641592943719448
3222.0,1.6727508976567993
3223.0,1.721212400321818
3224.0,1.688134465026664
3225.0,1.662095002035311
3226.0,1.7727538979743507
3227.0,1.743592979891959
3228.0,1.6975339583316456
3229.0,1.7113591954861547
3230.0,1.723438371770181
3231.0,1.7506980425669623
3232.0,1.7284024492967658
3233.0,1.7574739538759272
3234.0,1.6684421454153915
3235.0,1.6230829908250581
3236.0,1.763820931622228
3237.0,1.704550608797676
3238.0,1.6175664861374508
3239.0,1.7448354719945374
3240.0,1.6975101606936678
3241.0,1.7578238334761074
3242.0,1.694473102939787
3243.0,1.7365753793474628
3244.0,1.6942924386054756
3245.0,1.6675812873385931
3246.0,1.6960483272055886
3247.0,1.7023127824521442
3248.0,1.658803511982451
3249.0,1.7365763535908152
3250.0,1.6817765741183526
3251.0,1.612081988169503
3252.0,1.736837884303152
3253.0,1.6536874067227392
3254.0,1.6952524816800834
3255.0,1.6784599850070197
3256.0,1.6677780063828234
3257.0,1.671354494410219
3258.0,1.668368564663182
3259.0,1.7111133001649508
3260.0,1.6832788261569065
3261.0,1.6663998361361307
3262.0,1.722682088593966
3263.0,1.6813408765746476
3264.0,1.7225850489810117
3265.0,1.761655301162681
3266.0,1.722139648566991
3267.0,1.7167830730400993
3268.0,1.6946016611033832
3269.0,1.6997977291892439
3270.0,1.7521740512259958
3271.0,1.6741630481277703
3272.0,1.6564275539579094
3273.0,1.6614697278771184
3274.0,1.6451560314788563
3275.0,1.7163840665890286
3276.0,1.701426632419888
3277.0,1.652403363150791
3278.0,1.6897085203258044
3279.0,1.6513800623969008
3280.0,1.6699417550591242
3281.0,1.6798160267146927
3282.0,1.7297577200406073
3283.0,1.7148544731820166
3284.0,1.7067660265666338
3285.0,1.7686940108380285
3286.0,1.7237587695923522
3287.0,1.6429182154795832
3288.0,1.7574712230205396
3289.0,1.8649767898127116
3290.0,1.8870224568283716
3291.0,1.7820460757147651
3292.0,1.7848384247811233
3293.0,1.772355604578869
3294.0,1.8145174998794396
3295.0,1.7504494475949748
3296.0,1.7701803045880689
3297.0,1.7041023387294114
3298.0,1.7869458669412346
3299.0,1.8165277052183466
3300.0,1.6806414146780693
3301.0,1.711464985812192
3302.0,1.869664970851665
3303.0,1.8178607782462217
3304.0,1.8000181208055135
3305.0,1.7189573448662712
3306.0,1.6893378275233712
3307.0,1.7950032247878847
3308.0,1.7476607823176524
3309.0,1.8520501928386448
3310.0,1.7745457105754623
3311.0,1.73176087053822
3312.0,1.900974500568397
3313.0,1.7873974405713418
3314.0,1.7344380180772552
3315.0,1.7203808912762621
3316.0,1.8105923110116842
3317.0,1.7733003323946384
3318.0,1.7820588724406732
3319.0,1.611672656356052
3320.0,1.6951095012990705
3321.0,1.6682764893458928
3322.0,1.7063834066147097
3323.0,1.7124627753762582
3324.0,1.6926403177997744
3325.0,1.6654796039389521
3326.0,1.7320447392462586
3327.0,2.465782495569672
3328.0,2.3152091529774834
3329.0,1.8204253662215815
3330.0,1.7728255878031867
3331.0,3.3612033088294364
3332.0,3.3151318634090603
3333.0,1.719402601630145
3334.0,1.6716165631691782
3335.0,1.7522404416032353
3336.0,1.7296776742966573
3337.0,1.7302863965216386
3338.0,1.748519458534238
3339.0,1.9308519280313197
3340.0,1.805516309188952
3341.0,1.6985511355966973
3342.0,1.8745906695000834
3343.0,1.8206916597267715
3344.0,1.7730955746733144
3345.0,1.7466750650102563
3346.0,1.7522944914247307
3347.0,1.81363486785358
3348.0,1.8016869566495037
3349.0,1.8090815488648604
3350.0,1.751769596023943
3351.0,1.7504070885699838
3352.0,1.7379107081501035
3353.0,1.7290420767076062
3354.0,1.6658795861791655
3355.0,1.8383684595996261
3356.0,1.756831306487201
3357.0,1.737223884423414
3358.0,1.7499958435874263
3359.0,1.6531289121334418
3360.0,1.1901110598808895
3361.0,1.1528040664440393
3362.0,1.1960067725663905
3363.0,1.183668087943075
3364.0,1.1460149440933256
3365.0,1.6057486315892866
3366.0,1.7436796877177974
3367.0,1.7123303821247
3368.0,1.7884082683778542
3369.0,1.7814125363353244
3370.0,1.701521912358916
3371.0,1.7771514148548468
3372.0,1.7675086770693536
3373.0,1.6114620972998317
3374.0,1.6923234361063186
3375.0,1.686539860915337
3376.0,1.7704918688749218
3377.0,1.710073444988251
3378.0,1.6559927160029069
