epoch_index,total_avg_tps
3063,63.14462584
3064,71.36921493
3065,109.0033238
3066,152.4830101
3067,86.65184926
3068,80.56272261
3069,79.18741273
3070,78.55583361
3071,85.5090616
3072,72.29278602
3073,71.51752853
3074,72.64939436
3075,81.23881087
3076,80.91428216
3077,75.08939644
3078,81.75140375
3079,82.35726394
3080,85.56308702
3081,82.55760936
3082,83.48247308
3083,67.3156706
3084,78.00553037
3085,75.66335909
3086,70.46305309
3087,71.00223585
3088,79.6709229
3089,67.81965079
3090,70.94575745
3091,72.72866354
3092,77.07975286
3093,73.85115545
3094,79.431351
3095,88.65590299
3096,71.44100131
3097,74.6413447
3098,78.67589897
3099,63.91506068
3100,92.46116828
3101,83.17142324
3102,74.19182201
3103,85.43529074
3104,73.11041383
3105,82.00518885
3106,76.60362452
3107,79.18627063
3108,78.64782791
3109,73.8141003
3110,85.44807171
3111,73.90771585
3112,86.76817462
3113,78.89648408
3114,95.90457382
3115,83.87113881
3116,58.18286993
3117,77.13175314
3118,59.71949941
3119,73.71119973
3120,61.82856963
3121,72.21357364
3122,55.02507655
3123,72.62130471
3124,66.98411439
3125,60.07491713
3126,74.69211624
3127,55.88073566
3128,74.86088248
3129,43.10910946
3130,74.26869203
3131,74.29022699
3132,57.42835897
3133,70.14819879
3134,50.3448066
3135,78.04489151
3136,47.87745098
3137,66.73930239
3138,68.25328726
3139,71.163374
3140,60.62020522
3141,55.49373112
3142,72.72253665
3143,47.83814733
3144,77.35304652
3145,59.14023525
3146,66.52540338
3147,40.3001783
3148,81.58771894
3149,65.11695438
3150,59.11899954
3151,74.94291071
3152,62.80855814
3153,66.02842574
3154,63.20035073
3155,64.1502251
3156,61.05882201
3157,63.34007589
3158,56.6592749
3159,66.81983871
3160,59.79269234
3161,62.60694325
3162,64.87682632
3163,59.1987984
3164,64.06322422
3165,61.97303092
3166,60.55555963
3167,59.15158153
3168,63.51491414
3169,59.56306608
3170,46.13829432
3171,59.13478857
3172,56.35989548
3173,50.17457589
3174,68.82196212
3175,61.26793171
3176,50.54850209
3177,68.23311379
3178,64.51005583
3179,56.86489751
3180,61.17999093
3181,62.49366658
3182,59.04702764
3183,48.78369491
3184,77.85060423
3185,64.99270649
3186,57.31214551
3187,74.18123393
3188,66.45104921
3189,52.00728597
3190,74.05012095
3191,62.45643458
3192,55.50959679
3193,66.67090229
3194,61.31122603
3195,60.57903901
3196,58.66838134
3197,66.39855991
3198,62.26824206
3199,57.0924139
3200,65.14161079
3201,58.06343793
3202,46.86758532
3203,54.63474303
3204,56.29106912
3205,48.78965649
3206,53.96647364
3207,55.10428798
3208,57.41263262
3209,55.39678009
3210,57.8118954
3211,59.03581449
3212,49.37959092
3213,61.69567357
3214,61.86445955
3215,48.9464564
3216,62.273277
3217,57.3685024
3218,55.4388104
3219,59.70896427
3220,60.80774577
3221,61.15340349
3222,52.43532273
3223,58.75624929
3224,59.86958825
3225,45.31333713
3226,62.0657845
3227,55.55070657
3228,49.31467761
3229,62.56496919
3230,56.32568997
3231,54.01732075
3232,54.93043087
3233,56.74047992
3234,62.12912993
3235,54.7010153
3236,62.60540781
3237,61.143994
3238,50.12030189
3239,65.1361662
3240,59.47045309
3241,51.29651032
3242,60.92733313
3243,56.27316635
3244,57.48055316
3245,56.04370209
3246,57.5037234
3247,57.19592333
3248,49.66409384
3249,58.89873226
3250,58.63370905
3251,47.02658479
3252,66.53412496
3253,60.72946733
3254,54.96351932
3255,60.48295604
3256,59.37787064
3257,59.22320447
3258,51.91472162
3259,60.52830403
3260,58.47042308
3261,47.88450114
3262,61.37569375
3263,58.53188412
3264,47.6365785
3265,62.4008229
3266,56.20684045
3267,53.26009871
3268,54.41965852
3269,55.22687166
3270,54.8935513
3271,52.37447293
3272,59.54977695
3273,58.07327439
3274,46.90679221
3275,66.16313926
3276,58.00176354
3277,50.05603317
3278,63.38140223
3279,59.13484297
3280,57.2198153
3281,52.28378275
3282,57.62979012
3283,56.22723311
3284,47.81358354
3285,60.87255121
3286,57.31878742
3287,42.87269548
3288,65.11573059
3289,55.80421752
3290,47.62103761
3291,62.49332295
3292,57.13843028
3293,50.50303389
3294,56.29854036
3295,54.743072
3296,54.80284727
3297,50.70815354
3298,62.38045401
3299,58.39360093
3300,47.91662273
3301,67.80375407
3302,59.07656796
3303,47.59618407
3304,65.21157331
3305,61.2391215
3306,47.39769959
3307,65.44928763
3308,62.20630014
3309,53.93977388
3310,60.98833798
3311,57.92200181
3312,56.96201992
3313,59.05071024
3314,57.34308779
3315,58.30475257
3316,53.87749136
3317,60.12652422
3318,55.34854772
3319,41.96357604
3320,68.95428484
3321,56.49210627
3322,43.64167224
3323,65.79651865
3324,54.23357915
3325,52.41736406
3326,58.55582379
3327,55.25379525
3328,50.87859976
3329,61.85207806
3330,56.79408607
3331,45.87707194
3332,64.23377261
3333,58.55754206
3334,44.30693183
3335,64.50968803
3336,56.62596739
3337,48.3653642
3338,60.36087476
3339,54.89786646
3340,52.39793436
3341,54.27612957
3342,52.87282094
3343,53.08493435
3344,48.01861603
3345,55.92972522
3346,54.33010443
3347,45.95351164
3348,59.8396063
3349,54.33190754
3350,43.24645397
3351,60.16292857
3352,54.82387958
3353,55.95487865
3354,57.06301693
3355,54.23277046
3356,56.02332296
3357,51.35525173
3358,55.07637007
3359,43.41606253
3360,22.65839666
3361,27.81590625
3362,27.72439844
3363,24.04819645
3364,26.17390808
3365,50.13426382
3366,60.05376711
3367,53.42664034
3368,59.0079556
3369,56.68336234
3370,46.05976261
