epoch_index,avg_latency_sec
3478.0,1.454808969765288
3479.0,2.2587535304867918
3480.0,1.8497676527258298
3481.0,1.829638122450695
3482.0,1.7779347383028989
3483.0,1.8908882530633082
3484.0,1.8983849696235902
3485.0,1.7589453791668794
3486.0,1.8617497278699469
3487.0,1.8823835316142747
3488.0,2.4170913803927396
3489.0,2.50888287867152
3490.0,1.8382108050935206
3491.0,1.7877409333644805
3492.0,1.9542977185585642
3493.0,2.013068974148104
3494.0,1.8532066361697317
3495.0,1.8924264924264944
3496.0,1.9744810661243495
3497.0,1.9774498830340383
3498.0,1.962093821990883
3499.0,2.0757765546003992
3500.0,1.9548431631973855
3501.0,1.8124603557708014
3502.0,1.9646621875995498
3503.0,1.9455233139194275
3504.0,1.8309171398409079
3505.0,1.9687133492502307
3506.0,1.8926618388946848
3507.0,1.9375623481263593
3508.0,1.9458269519147451
3509.0,1.9570953294260098
3510.0,1.917568346840451
3511.0,1.9068531636932855
3512.0,1.9500789454461671
3513.0,1.9855346601604613
3514.0,1.8254211929373119
3515.0,1.9449834818958276
3516.0,1.9341579324646803
3517.0,1.8882192048054685
3518.0,1.9255136230702061
3519.0,1.9575009578019791
3520.0,1.9413334070157979
3521.0,1.8515553187737561
3522.0,2.0008596493359732
3523.0,1.877758185887471
3524.0,1.7895091756542985
3525.0,1.9331779353087171
3526.0,1.8568728073192553
3527.0,1.8337734009809405
3528.0,1.9201522334476337
3529.0,1.8773531947892605
3530.0,1.8519024304288167
3531.0,1.8186496639620153
3532.0,1.950932763038614
3533.0,1.8949147943123836
3534.0,1.7520183944816561
3535.0,1.906418274414823
3536.0,1.695145674113403
3537.0,1.6618069441919672
3538.0,1.8729844024604594
3539.0,1.8543479482855521
3540.0,1.8023875402078611
3541.0,1.8190622811389925
3542.0,1.8504389073321146
3543.0,1.7911202392616472
3544.0,1.794377024591767
3545.0,1.8474371373307543
3546.0,1.7924331074151834
3547.0,1.733941428273551
3548.0,1.8567145907473308
3549.0,1.884437309437843
3550.0,1.9432560167249582
3551.0,1.80167174709074
3552.0,1.8155720138670033
3553.0,1.76611833151878
3554.0,1.7417338100414836
3555.0,1.8530814675187348
3556.0,1.7919559776498444
3557.0,1.7071892062989653
3558.0,1.8567185989398705
3559.0,1.8104750447463396
3560.0,1.7167296897103745
3561.0,1.7757818969361094
3562.0,1.8897344137339498
3563.0,1.8852379247344413
3564.0,1.7876874959891658
3565.0,1.9043700883091625
3566.0,1.9213560478429073
3567.0,1.8308415597133509
3568.0,1.8914653520863514
3569.0,1.9407227745295155
3570.0,1.901534419042533
3571.0,1.874268746070362
3572.0,1.9646139991813336
3573.0,1.8928995298656457
3574.0,1.8997177573311965
3575.0,1.9833891405685773
3576.0,1.9349744654649943
3577.0,1.8608570916263216
3578.0,2.0025227058950525
3579.0,1.9817427411646438
3580.0,2.0690001857781346
3581.0,2.0605385143918911
3582.0,2.057250534818166
3583.0,2.1119118881746357
3584.0,2.029728101712768
3585.0,2.1517732632129891
3586.0,1.945188435820272
3587.0,1.9622645606035922
3588.0,2.0499163733985282
3589.0,1.9783659371635267
3590.0,1.9026695563588318
3591.0,2.082894956967861
3592.0,2.0740047250427311
3593.0,2.0961967976344
3594.0,2.0089982268000677
3595.0,2.1977735188734262
3596.0,2.0165540130327431
3597.0,2.1498814938675928
3598.0,3.2259603530379861
3599.0,1.9839504953162732
3600.0,1.9968020125124315
3601.0,2.2893280730101582
3602.0,2.1262976028893825
3603.0,1.9511241769161318
3604.0,1.9897263949370232
3605.0,2.0299084416661057
3606.0,2.05841390169925
3607.0,2.0012945901252062
3608.0,2.0298716498137486
3609.0,2.0519175973536816
3610.0,2.0988492092954134
3611.0,2.24269587967354
3612.0,1.9872737205433197
3613.0,2.0523035329363206
3614.0,2.1005461707209392
3615.0,2.0006421012460431
3616.0,1.9863893881628643
3617.0,2.126779377036637
3618.0,2.0612266151632213
3619.0,2.0418610209478611
3620.0,2.0628008037007652
3621.0,2.0967247322895095
3622.0,2.0343908462351186
3623.0,2.0179247146786623
3624.0,2.0738237214675785
3625.0,2.0027653771286684
3626.0,1.9980720393044771
3627.0,1.89601925757
3628.0,1.9280256090019519
3629.0,2.0636740164659368
3630.0,2.103839085794569
3631.0,1.9322912565707218
3632.0,1.9666189352197379
3633.0,2.0288406312392318
3634.0,2.0827847320450514
3635.0,1.9337823612159162
3636.0,1.9961706469772176
3637.0,2.0340149276939807
3638.0,2.0104633370057559
3639.0,2.0077874290462225
3640.0,2.1035251062205225
3641.0,2.0367307435796431
3642.0,2.1014550036786
3643.0,2.0988748191847071
3644.0,2.0179866096057029
3645.0,2.0547778225768649
3646.0,2.043560063073397
3647.0,2.0580691537572005
3648.0,2.02985205671891
3649.0,2.0704529988412936
3650.0,2.0493239095504707
3651.0,1.8726393737563893
3652.0,1.9027642712201835
3653.0,2.0395313565335988
3654.0,1.8974691778700197
3655.0,2.1604211672251625
3656.0,2.21079788279421
3657.0,2.0279200093400269
3658.0,1.965404338612357
3659.0,1.9412321619092343
3660.0,1.9567487257794927
3661.0,1.9479778981331382
3662.0,1.9608164207473877
3663.0,1.9715597634097155
3664.0,1.8606169740064598
3665.0,1.9353996903372119
3666.0,2.0041235699733582
3667.0,2.0453293554420817
3668.0,1.9835420595500548
3669.0,2.0609183481048432
3670.0,2.1185006702526596
3671.0,2.0936848589686963
3672.0,2.000414167330625
3673.0,2.0889514800808895
3674.0,2.0651904614431671
3675.0,2.0446204067228368
3676.0,2.1127670609251852
3677.0,2.1361879677038216
3678.0,2.1072032706336827
3679.0,2.1355277244594761
3680.0,2.1526810986995355
3681.0,2.2590797707458292
3682.0,2.1570497731381972
3683.0,2.1407876945041235
3684.0,2.0920581439818937
3685.0,2.1005139633399548
3686.0,2.1003011172418868
3687.0,2.0877945531566744
3688.0,1.9386489633098192
3689.0,2.1866871692376986
3690.0,2.3378955126916576
3691.0,1.9761269369228369
3692.0,2.0818125507852554
3693.0,2.2215414505304705
3694.0,2.1455979961550882
3695.0,2.0458643135332379
3696.0,2.0439273694550693
3697.0,1.8604282197595456
3698.0,1.7581885423638912
3699.0,1.799504571224269
3700.0,1.8160857197260376
3701.0,1.8273541764831496
3702.0,2.0262604064511036
3703.0,1.8154358486203412
3704.0,1.865990701317247
3705.0,2.0748914978299546
3706.0,1.920185730494036
3707.0,1.882341776728045
3708.0,1.8071154108102809
3709.0,1.8471728452445242
3710.0,1.8619478217479981
3711.0,1.7038827580008891
3712.0,1.8252024412621168
3713.0,1.8136172398678927
3714.0,1.7726839096416851
3715.0,2.7940298585482637
3716.0,1.9226565264523676
3717.0,1.830564051288083
3718.0,2.6084536333067772
3719.0,2.4482621665009496
3720.0,1.8416647042452523
3721.0,1.8710566703572624
3722.0,2.0525112499329912
3723.0,2.0783238613623625
3724.0,1.9512316741286986
3725.0,1.9862446429493459
3726.0,1.9799679106251484
3727.0,1.8721586284526803
3728.0,2.0951897831734958
3729.0,1.8978200086381316
3730.0,1.6821888218882186
3731.0,2.2602484961198983
3732.0,2.1901591075288538
3733.0,2.1436121538088053
3734.0,1.9203851580889173
3735.0,1.8951175406871612
3736.0,1.9266339009896203
3737.0,2.097692858362799
3738.0,2.0334596042061253
3739.0,2.0889688858167887
3740.0,2.2019371590972066
3741.0,2.2276064444065784
3742.0,2.1167929063335826
3743.0,2.1845293450161662
3744.0,2.2902166394062604
3745.0,2.2884118809087077
3746.0,2.1982450668033171
3747.0,2.1921898177493442
3748.0,2.2582598518496986
3749.0,2.149812413566468
3750.0,2.1503968525610775
3751.0,2.1616894331920249
3752.0,2.1388131575287757
3753.0,1.8747456071082347
3754.0,2.1812533285993272
3755.0,2.1421604019185185
3756.0,1.9767989251754059
3757.0,2.035786013671975
3758.0,2.2722552102303277
3759.0,2.3019374230603438
3760.0,2.1392143854971284
3761.0,2.1941782124327958
3762.0,2.238776534827934
3763.0,2.0069138324638178
3764.0,2.20815624885703
3765.0,2.2108702235799136
3766.0,2.1015757749199575
3767.0,2.1937318026485948
3768.0,2.4010941903088763
3769.0,2.1713269714814438
3770.0,2.1914002918512776
3771.0,2.2927407307944061
3772.0,2.2466608572265834
3773.0,2.1176336174393851
3774.0,2.1944424816280415
3775.0,2.658411792738371
3776.0,1.9608642578124997
3777.0,2.0966059153318519
3778.0,2.2683812028779182
3779.0,2.0455368912260372
3780.0,2.1977545614055187
3781.0,2.1774044145634091
3782.0,2.1834316589342686
3783.0,2.2132192182584118
3784.0,2.1069018435742968
3785.0,2.1093171853490453
3786.0,2.0218826665517473
3787.0,2.0584735906750611
3788.0,2.1441268163804468
3789.0,2.0579315607767756
3790.0,2.2267889553194862
