epoch_index,avg_latency_per_epoch_sec
3478.0,1.3650094186404707
3479.0,2.0020977277352543
3480.0,1.6731852625800316
3481.0,1.6420960254391022
3482.0,1.5857727697859902
3483.0,1.6887215683859715
3484.0,1.7006892887240266
3485.0,1.6011298483808298
3486.0,1.6835407592976073
3487.0,1.6951029827042623
3488.0,2.1248460034809735
3489.0,2.1926167414667064
3490.0,1.662634366605055
3491.0,1.6105780198290616
3492.0,1.7204491924137877
3493.0,1.780512236923739
3494.0,1.6584627595617116
3495.0,1.6686111394399807
3496.0,1.7541697117197683
3497.0,1.7468957452679428
3498.0,1.7169713803297677
3499.0,1.840194740401775
3500.0,1.7432766776353636
3501.0,1.6434863011847112
3502.0,1.7365820682587376
3503.0,1.7382110510049882
3504.0,1.645651281748565
3505.0,1.7256753951413
3506.0,1.702789111534698
3507.0,1.7050945883638189
3508.0,1.7156094910380402
3509.0,1.7370150551985855
3510.0,1.7107376076942762
3511.0,1.676453330250107
3512.0,1.7073040852006176
3513.0,1.7555720193561877
3514.0,1.6164681521665516
3515.0,1.7049862860747382
3516.0,1.7143284180008083
3517.0,1.677664192382603
3518.0,1.6943244971138671
3519.0,1.7256335514406753
3520.0,1.7219198018490807
3521.0,1.6423322120460364
3522.0,1.7559720159985361
3523.0,1.705874398006445
3524.0,1.6134875431788882
3525.0,1.7015993221003218
3526.0,1.6777786174232565
3527.0,1.656855210633878
3528.0,1.6746766178269143
3529.0,1.6718638380349768
3530.0,1.664251928696854
3531.0,1.634683118891476
3532.0,1.710482110123598
3533.0,1.7021933888263021
3534.0,1.5588112269506584
3535.0,1.631968871049418
3536.0,1.5698031687434677
3537.0,1.5713126588604562
3538.0,1.669198387584463
3539.0,1.6725416275580272
3540.0,1.6301209815965398
3541.0,1.6293740200644617
3542.0,1.6531821241571028
3543.0,1.6290930804039254
3544.0,1.5987507628226014
3545.0,1.628911145749108
3546.0,1.6164528881022378
3547.0,1.575771045090733
3548.0,1.6553841663528401
3549.0,1.6839021844759576
3550.0,1.7356722479652464
3551.0,1.6233982880489644
3552.0,1.6354273548919391
3553.0,1.595934602243352
3554.0,1.5652907480796396
3555.0,1.6172890350660343
3556.0,1.606773757207851
3557.0,1.5566526089353054
3558.0,1.6356770533018141
3559.0,1.5982968381631042
3560.0,1.5648904205419818
3561.0,1.5923754858174795
3562.0,1.682076063724055
3563.0,1.6800676572155817
3564.0,1.6037838460434877
3565.0,1.6737409934275083
3566.0,1.6804010166736487
3567.0,1.6427341054772127
3568.0,1.6775188619715833
3569.0,1.7108134206668388
3570.0,1.7026442696711714
3571.0,1.6591933114897879
3572.0,1.724068598161372
3573.0,1.691989635480104
3574.0,1.7139787673351374
3575.0,1.7342903547506339
3576.0,1.6835724477343679
3577.0,1.6579362165694664
3578.0,1.7353741544961439
3579.0,1.7286756791755922
3580.0,1.817009873431912
3581.0,1.7838563649822454
3582.0,1.7732723864678346
3583.0,1.8512932151081405
3584.0,1.763027099654406
3585.0,1.8647299695428652
3586.0,1.7328334012673965
3587.0,1.7503732323129724
3588.0,1.8046397768168225
3589.0,1.7685553801987832
3590.0,1.7153493987209478
3591.0,1.8058034745652753
3592.0,1.8014760234150842
3593.0,1.8308798584948827
3594.0,1.7557531677799585
3595.0,1.9060847565115395
3596.0,1.787708231160202
3597.0,1.8652345926803575
3598.0,2.428631131744237
3599.0,1.7465456370055519
3600.0,1.7332068033147876
3601.0,1.9222701149421302
3602.0,1.8305899081363666
3603.0,1.694134236928865
3604.0,1.7286309677263816
3605.0,1.7966223084242634
3606.0,1.778378404722548
3607.0,1.7365399909008703
3608.0,1.776426492183766
3609.0,1.8004938235751728
3610.0,1.787618241802002
3611.0,1.9215111608225608
3612.0,1.7574987256734003
3613.0,1.7665569051392194
3614.0,1.8269698472847422
3615.0,1.7783438743626045
3616.0,1.7428105893412256
3617.0,1.8225419378222207
3618.0,1.814431230894626
3619.0,1.7795203682358105
3620.0,1.7874754570312459
3621.0,1.808097226089079
3622.0,1.796138236934996
3623.0,1.7392511224584457
3624.0,1.782759414147761
3625.0,1.7779824556860915
3626.0,1.7561701977357314
3627.0,1.6773366190569332
3628.0,1.7054694803480348
3629.0,1.7893983447439514
3630.0,1.8330454963667198
3631.0,1.73391188718187
3632.0,1.7672605208909498
3633.0,1.780559693775067
3634.0,1.8347730622338345
3635.0,1.7537845943806305
3636.0,1.7565396178815362
3637.0,1.799734926584622
3638.0,1.8060677812182955
3639.0,1.7874773573403349
3640.0,1.8464864638122132
3641.0,1.8337915671681577
3642.0,1.843907353308147
3643.0,1.811769243186583
3644.0,1.7914731734093179
3645.0,1.8408820494467204
3646.0,1.7713583248652787
3647.0,1.8016693849577687
3648.0,1.8342778231773273
3649.0,1.8027425161508566
3650.0,1.798390768517096
3651.0,1.653857403590931
3652.0,1.6846885790479205
3653.0,1.7302227143492699
3654.0,1.703387486190576
3655.0,2.2277652474318277
3656.0,1.8759274897438094
3657.0,1.7333493936194586
3658.0,1.7263904982027434
3659.0,1.6687141358642656
3660.0,1.7100762667135627
3661.0,1.7315586956757794
3662.0,1.7288988973671613
3663.0,1.7324818329782603
3664.0,1.6843687535387524
3665.0,1.7249542861241127
3666.0,1.7343402768947271
3667.0,1.7812935726231325
3668.0,1.7769393037979004
3669.0,1.8564176381649367
3670.0,1.8805590882502967
3671.0,1.8937404778601288
3672.0,1.7400176067217035
3673.0,1.784123943432296
3674.0,1.866469267937993
3675.0,1.8171212774596013
3676.0,1.8589898748048723
3677.0,1.9158693524131385
3678.0,1.9018672184235303
3679.0,1.8914488310172857
3680.0,1.9250885571741243
3681.0,2.0139366355973567
3682.0,1.9056764553408594
3683.0,1.9158844942739077
3684.0,1.8438465713034011
3685.0,1.7942581851614723
3686.0,1.794169977129644
3687.0,1.8022328277320707
3688.0,1.7046824489953811
3689.0,1.8505826543409958
3690.0,2.0042004501453223
3691.0,1.7473944819726843
3692.0,1.806805306349342
3693.0,1.9575593855636413
3694.0,1.8978029056376369
3695.0,1.8032526180881812
3696.0,1.892047239715004
3697.0,1.8031918251008077
3698.0,1.73972929630062
3699.0,1.8097759965810714
3700.0,1.817997483123585
3701.0,1.7863299966983723
3702.0,1.8246186236055963
3703.0,1.7919565479496755
3704.0,1.7927634802065557
3705.0,1.811805066743142
3706.0,1.8271910421815123
3707.0,1.8755620184212158
3708.0,1.8363858994703948
3709.0,1.885108016100274
3710.0,1.8596118121630336
3711.0,1.739816032043309
3712.0,1.8524574548102004
3713.0,1.8604229423360918
3714.0,1.7861996060717824
3715.0,2.573547429069625
3716.0,1.89771576567076
3717.0,1.7593673823706792
3718.0,2.4065976805015197
3719.0,2.262192124637652
3720.0,1.808079399184813
3721.0,1.7719319316606106
3722.0,1.9212229520332533
3723.0,1.917770591693207
3724.0,1.832153139873831
3725.0,1.86911630661544
3726.0,1.889132466667614
3727.0,1.8192564735333372
3728.0,1.9371995128112036
3729.0,1.9144549040839651
3730.0,1.7824325544926785
3731.0,2.007182264778995
3732.0,1.9755506513851762
3733.0,1.8965427567506354
