epoch_index,avg_tps
3478,2.790446185
3479,4.206891896
3480,8.318483916
3481,6.527160782
3482,6.518627985
3483,7.09865966
3484,6.097031081
3485,4.783284024
3486,6.704323678
3487,8.799109352
3488,4.69901156
3489,7.382796128
3490,6.192905081
3491,4.051393189
3492,7.826474544
3493,6.349546918
3494,4.802840209
3495,6.724129966
3496,6.522009263
3497,5.984766133
3498,5.458684718
3499,6.669216411
3500,5.943781942
3501,3.652185562
3502,7.363903321
3503,6.078098536
3504,4.157037151
3505,7.748993391
3506,6.135858794
3507,5.264334752
3508,6.30271375
3509,6.59080131
3510,6.009655912
3511,5.046416907
3512,6.874145526
3513,6.235852985
3514,3.987602827
3515,8.017372212
3516,6.004747436
3517,4.521377398
3518,6.94576245
3519,5.971890292
3520,5.691386195
3521,5.215025506
3522,6.597889623
3523,5.917866994
3524,4.344489481
3525,7.66602606
3526,6.081579048
3527,4.519364982
3528,7.413604499
3529,6.190277352
3530,5.679920248
3531,5.296802951
3532,7.013021231
3533,6.193304617
3534,4.901379981
3535,6.781989602
3536,6.324984467
3537,4.216389889
3538,7.017651157
3539,6.059903271
3540,5.707826557
3541,6.324298198
3542,6.147526502
3543,6.072853026
3544,5.4516104
3545,6.601483322
3546,6.11015583
3547,4.494086523
3548,7.36849464
3549,6.11295175
3550,5.620592598
3551,6.30961434
3552,6.205988442
3553,6.223962956
3554,4.987025095
3555,7.262655168
3556,6.237495198
3557,4.41903172
3558,7.510333863
3559,6.136122433
3560,5.957143412
3561,6.25862069
3562,6.134909119
3563,6.098283574
3564,5.63871443
3565,6.507425743
3566,6.160293168
3567,4.655425334
3568,6.942528736
3569,6.11964583
3570,5.476981161
3571,6.313148991
3572,6.112916794
3573,5.926706367
3574,4.799730976
3575,6.029597339
3576,6.024185268
3577,4.766930283
3578,6.995282838
3579,6.145437406
3580,5.135691894
3581,6.727338184
3582,6.081198519
3583,6.39870237
3584,5.987860918
3585,6.182351605
3586,5.984652788
3587,5.441502956
3588,6.38959207
3589,6.073443119
3590,4.595894608
3591,7.011101849
3592,6.07179698
3593,5.571492554
3594,6.557459832
3595,5.965528782
3596,5.939372136
3597,5.424641193
3598,6.381107161
3599,6.051649713
3600,5.040694173
3601,6.867151163
3602,6.288403202
3603,5.176819923
3604,6.944727694
3605,6.280106679
3606,4.975788014
3607,6.877482045
3608,6.004677517
3609,5.910641509
3610,5.848313969
3611,5.947237947
3612,5.947938518
3613,5.854738272
3614,5.986522607
3615,5.939284096
3616,4.940644172
3617,6.656764684
3618,5.980239229
3619,5.201928965
3620,6.569984359
3621,6.008965231
3622,6.050534719
3623,6.026061257
3624,6.219877909
3625,6.223243081
3626,5.097291572
3627,4.168914259
3628,8.486024069
3629,4.984098611
3630,6.436310395
3631,5.660355709
3632,5.268858504
3633,5.651239607
3634,5.437655955
3635,5.637334456
3636,5.320265729
3637,5.523531419
3638,5.729823503
3639,4.497790586
3640,6.352316971
3641,6.040750933
3642,5.281957716
3643,6.80725788
3644,6.139600596
3645,6.068597217
3646,6.063572454
3647,6.136123063
3648,6.263233569
3649,6.040549206
3650,6.242468745
3651,6.329035467
3652,5.771033055
3653,6.772448748
3654,6.400921833
3655,6.071115312
3656,6.570117287
3657,6.281916689
3658,6.177827969
3659,5.923948096
