epoch_index,total_avg_tps
3478,31.49071866
3479,45.87579736
3480,75.56340435
3481,58.98343855
3482,60.85136502
3483,63.88679461
3484,55.95623937
3485,50.26654469
3486,62.78308327
3487,85.51037186
3488,46.01651868
3489,66.29547949
3490,59.48797699
3491,41.03873839
3492,68.28157541
3493,61.59825507
3494,47.32520012
3495,63.54685094
3496,63.05810144
3497,56.07517416
3498,52.26816171
3499,63.25751199
3500,59.03104297
3501,43.54459159
3502,70.13647316
3503,58.79359404
3504,42.36652226
3505,68.96224265
3506,62.42848061
3507,49.05208453
3508,57.3831422
3509,62.95069442
3510,56.26630393
3511,47.46931796
3512,63.67066687
3513,57.88273591
3514,39.55065076
3515,67.03077693
3516,59.20064565
3517,43.38714275
3518,60.88778305
3519,57.28291795
3520,56.09477087
3521,50.2514299
3522,58.54437106
3523,58.1544974
3524,43.29677668
3525,66.41430603
3526,60.7194031
3527,45.67608712
3528,65.42554503
3529,60.00421391
3530,54.58302979
3531,51.06624654
3532,63.42889873
3533,61.1217411
3534,46.29232264
3535,56.14568945
3536,60.59152687
3537,44.56687183
3538,65.21591701
3539,59.70722419
3540,52.23348392
3541,57.24073931
3542,56.23540482
3543,58.36595581
3544,50.10795499
3545,58.48879742
3546,60.47447609
3547,43.43611889
3548,64.34394904
3549,56.46117522
3550,51.02015899
3551,57.07643362
3552,56.08567661
3553,60.1677021
3554,46.57446974
3555,63.53308326
3556,60.15282367
3557,43.54338626
3558,65.77242235
3559,59.2655541
3560,56.91677352
3561,59.63010461
3562,55.29734993
3563,55.93948545
3564,52.44091649
3565,56.42477568
3566,57.63597008
3567,42.39409345
3568,62.2281048
3569,56.26479491
3570,48.43236892
3571,54.95158091
3572,53.4945702
3573,56.51026874
3574,47.73693313
3575,55.38468892
3576,57.43784462
3577,43.94548526
3578,59.76920422
3579,55.09905732
3580,46.59266308
3581,57.29854479
3582,52.1084788
3583,53.28319082
3584,48.95033315
3585,50.69200485
3586,55.40206656
3587,47.92279229
3588,53.65158216
3589,54.9089911
3590,41.53431373
3591,58.63966353
3592,55.02586336
3593,48.64513119
3594,56.09693956
3595,52.12141157
3596,53.76472148
3597,47.34792171
3598,53.47282885
3599,54.80222214
3600,44.38232194
3601,56.46402616
3602,56.44406272
3603,43.73348659
3604,57.89397451
3605,55.1102096
3606,44.14886998
3607,59.60990129
3608,54.49129145
3609,52.75698113
3610,51.06895508
3611,51.51818552
3612,55.43548572
3613,50.0754425
3614,52.4461469
3615,56.21099532
3616,43.23807515
3617,58.4542002
3618,54.93156849
3619,46.31219382
3620,55.74325716
3621,51.76159265
3622,53.51867751
3623,51.10996392
3624,53.03071347
3625,57.87470937
3626,44.58613255
3627,39.68703548
3628,72.98050675
3629,45.51770752
3630,58.82115103
3631,54.83090457
3632,48.56437241
3633,53.62280269
3634,50.02903592
3635,54.19145679
3636,48.94735622
3637,51.70116425
3638,55.32569015
3639,42.7481268
3640,56.47648675
3641,54.36215931
3642,45.05120006
3643,58.05208731
3644,53.96884188
3645,54.55197443
3646,52.12752287
3647,53.57944637
3648,54.96072496
3649,50.68722417
3650,55.85449616
3651,58.05934116
3652,47.84707416
3653,56.35010213
3654,56.49680759
3655,56.77973535
3656,57.87695782
3657,59.14495145
3658,54.64234896
3659,53.29238329
3660,58.1895507
3661,58.89449109
3662,50.36990809
3663,56.89624267
3664,58.15367253
3665,50.1262983
3666,58.59262614
3667,55.08688556
3668,53.81207086
3669,55.67835167
3670,51.53572901
3671,53.66676689
3672,53.32809348
3673,56.06888797
3674,57.39467105
3675,48.00152503
3676,51.12738027
3677,53.72506408
3678,43.58107453
3679,55.28403419
3680,50.96978032
3681,47.66974108
3682,50.24031615
3683,50.22240315
3684,54.24876466
3685,54.08729389
3686,55.41328837
3687,58.45703024
3688,49.46763059
3689,53.44836385
3690,56.86616741
3691,45.40080214
3692,56.53174936
3693,51.66812003
3694,47.6281989
3695,53.81337665
3696,49.01260377
3697,52.82270365
3698,52.03027983
3699,49.60417144
3700,52.22714713
3701,47.50009608
3702,50.3485808
3703,51.60402992
3704,41.63746569
3705,54.69758328
3706,51.09335522
3707,51.24066924
3708,49.9284515
3709,50.8966895
3710,54.26328392
3711,50.18448581
3712,52.09458893
3713,54.1370499
3714,43.82699744
3715,54.44992766
3716,55.27578893
3717,43.98309049
3718,57.66928811
3719,53.8833524
3720,44.95423034
3721,54.69316516
3722,50.1571188
3723,50.7463833
3724,48.0077969
3725,48.92783584
3726,52.86233356
3727,47.41427859
3728,50.29982951
3729,52.6699418
3730,41.53793262
3731,56.58036439
3732,51.57592655
3733,45.57207844
3734,52.34268102
3735,50.5653523
3736,51.4864957
3737,47.94126307
3738,49.78701015
3739,50.16583308
3740,45.53967037
3741,46.72389985
3742,50.57993967
3743,40.12275382
3744,52.50263949
3745,49.70732253
3746,46.65474339
3747,51.92976155
3748,50.8569236
3749,49.15846475
3750,47.81737529
3751,46.48278033
3752,48.30052144
3753,50.38570117
3754,50.84262004
3755,51.95771382
3756,45.03391232
3757,53.50241601
3758,49.06033688
3759,42.52098618
3760,53.81311797
3761,49.62143234
3762,52.52847022
3763,51.13188705
3764,47.56078654
3765,53.40139734
3766,47.54193182
3767,50.81276258
3768,53.07298443
3769,44.77339846
3770,54.67781511
3771,50.84795386
3772,44.4683431
3773,53.88717245
3774,49.34884246
3775,49.76817763
3776,51.45105124
3777,48.0978491
3778,53.09443471
3779,50.24077677
3780,47.28244653
3781,50.91171171
3782,45.56023783
3783,52.81008671
3784,49.95213028
3785,41.64944579
3786,59.10518891
3787,51.77948153
3788,51.35564075
3789,48.81565782
